
ID    |                  Customer |          Phone Number |           Brand | Plate Number | Seats |  Rental Rate |                    Driver |  Driver Phone Number | Start Date | TicketDate | Date Today |   Duration |     Status | Rental Fee (RM)
ID132 | Colin Morales             |           60154676279 |           Mazda |      IPQ 807 |     9 |        97.30 |           Jonathan Kramer |          60128705190 | 2024-07-06 | 2024-07-18 | 2024-07-10 |          4 |      Valid |          389.20
ID133 | John Davis                |           60183540059 |         Perodua |      DVY 226 |     9 |       165.38 |               Toni Holmes |          60117699004 | 2024-07-08 | 2024-07-18 | 2024-07-10 |          3 |      Valid |          496.14
ID134 | Jerry Martin              |           60121516778 |          Proton |      HTA 155 |     7 |        58.62 |             Julie Manning |          60120440994 | 2024-07-09 | 2024-07-19 | 2024-07-10 |          3 |      Valid |          175.86
ID135 | Antonio Williams          |           60124417336 |             BMW |      KLQ 520 |     5 |       141.45 |           Darren Gonzales |          60119543560 | 2024-07-04 | 2024-07-09 | 2024-07-10 |          1 |    Expired |          141.45
ID136 | Tyler Wright PhD          |           60119430703 |           Honda |      GTU 203 |     7 |        71.24 |             Mark Erickson |          60181753628 | 2024-07-08 | 2024-07-11 | 2024-07-10 |          5 |      Valid |          356.20
ID137 | Tiffany Schneider         |           60111724191 |         Perodua |      SLT 929 |     4 |        75.14 |           Virginia Cooper |          60185927087 | 2024-07-08 | 2024-07-12 | 2024-07-10 |          5 |      Valid |          375.70
ID138 | Christina Collins         |           60146494995 |             BMW |      FBH 841 |     5 |       179.36 |                  Ryan Ray |          60166054122 | 2024-07-04 | 2024-07-13 | 2024-07-10 |          4 |      Valid |          717.44
ID139 | Rachael Neal              |           60131656572 |          Toyota |      JAC 701 |     7 |       148.89 |              Morgan Rubio |          60139203651 | 2024-07-07 | 2024-07-19 | 2024-07-10 |          1 |      Valid |          148.89
ID140 | Chase Leonard             |           60157497804 |          Nissan |      FTC 803 |     4 |       112.51 |            Kevin Cummings |          60114208311 | 2024-07-07 | 2024-07-09 | 2024-07-10 |          1 |    Expired |          112.51
ID141 | Ellen Zimmerman           |           60134116705 |           Honda |      EGE 470 |     5 |       104.40 |           Samantha Wilson |          60111472711 | 2024-07-04 | 2024-07-17 | 2024-07-10 |          1 |      Valid |          104.40
ID142 | Elizabeth Roberts         |           60166819259 |           Honda |      WOJ 377 |     7 |        69.81 |                Juan Quinn |          60170490693 | 2024-07-07 | 2024-07-20 | 2024-07-10 |          1 |      Valid |           69.81
ID143 | Roberto Roberts           |           60109344177 |           Honda |      QIK 329 |     7 |       120.56 |         Stacey Bernard MD |          60181402964 | 2024-07-05 | 2024-07-07 | 2024-07-10 |          5 |    Expired |          602.80
ID144 | Debra Hayes               |           60116608365 |          Toyota |      NGT 322 |     7 |       132.90 |              Michael Hall |          60111104196 | 2024-07-10 | 2024-07-21 | 2024-07-10 |          5 |      Valid |          664.50
ID145 | Katie Lester              |           60106300779 |      Volkswagen |      ABQ 967 |     7 |       147.03 |             William Quinn |          60108942667 | 2024-07-08 | 2024-07-11 | 2024-07-10 |          4 |      Valid |          588.12
ID146 | Greg Haynes               |           60138295187 |          Proton |      ULS 553 |     9 |       104.70 |               Kelly Hobbs |          60186110821 | 2024-07-04 | 2024-07-15 | 2024-07-10 |          5 |      Valid |          523.50
ID147 | Jose Barker               |           60185832302 |            Ford |      TQK 196 |     9 |       173.87 |              Robert Clark |          60125275744 | 2024-07-07 | 2024-07-15 | 2024-07-10 |          4 |      Valid |          695.48
ID148 | Robert Fischer            |           60176524599 |           Mazda |      ELQ 730 |     4 |       138.63 |                Angel Lane |          60107144346 | 2024-07-06 | 2024-07-17 | 2024-07-10 |          2 |      Valid |          277.26
ID149 | Crystal Perez             |           60155601690 |             BMW |      VMH 195 |     9 |       167.18 |             David Johnson |          60117152121 | 2024-07-06 | 2024-07-18 | 2024-07-10 |          1 |      Valid |          167.18
